,LICENSE#,FULL NAME,DBA NAME,LICENSE TYPE,SITE LOCATION,ZIP,isyelp
0,BU03041362,SINGHAL FAMILY TRUST,,BU,625 E 6TH ST,90802,False
1,BU20317470,PHILLIP RICHARD APPLEBY,AVON HOTEL,BU,127 W 5TH ST,90802,False
2,BU02054117,PACIFIC CAPITAL LLC,,BU,302 E ANAHEIM ST  1260-1262 Lb Blvd/310-316 E Anah,90813,False
3,BU03033350,ED VAN,,BU,1702  PACIFIC AVE,90813,False
4,BU03033364,LINDA KWOCK,,BU,1710  PACIFIC AVE,90813,False
5,BU03033371,HEYTHEM & ASMAA ABOUD,,BU,1700  PINE AVE,90813,False
6,BU03036624,ANNIE SAVARIMUTHU,,BU,707  MAINE AVE,90813,False
7,BU03036631,MARK POGAS,,BU,724  LOMA VISTA DR,90813,False
8,BU03036641,MARK POGAS,,BU,734  LOMA VISTA DR,90813,False
9,BU03036651,DENNIS SOUKUP,,BU,778  LOMA VISTA DR,90813,False
10,BU20537350,NEW CINGULAR WIRELESS PCS LLC,AT&T MOBILITY,BU,800 W 15TH ST,90813,False
11,BU20537420,NEW CINGULAR WIRELESS PCS LLC,AT&T MOBILITY,BU,200  PINE AVE,90802,False
12,BU03046472,M & M ASSET MANAGEMENT LLC,,BU,530  CHESTNUT AVE,90802,False
13,BU03046530,BASSIN FAMILY TRUST,,BU,555  PACIFIC AVE,90802,False
14,BU03046612,ROBERT M DOWLING,,BU,430  PACIFIC AVE,90802,False
15,BU03046622,MIGUEL GUZMAN,,BU,234 W 5TH ST,90802,False
16,BU03052915,JAMES A MOORE,,BU,9  BONITO AVE,90802,False
17,BU20618280,"TONY H & CHUNG, MARGARET LIM",ASIAN PACIFIC,BU,720 E ANAHEIM ST  720-724 E Anaheim St,90813,False
18,BU03038420,LAWRENCE & CAROL SHAW,,BU,543 W 7TH ST  543-547 W 7th St,90813,False
19,BU03038463,LOUIE OLVERA,,BU,"440 W 8TH ST  440, 440 1/2 A,B,C,D, W 8th St",90813,False
20,BU03038484,NIKOLA MALBASA,,BU,416 W 8TH ST  416-24 W 8th St,90813,False
21,BU03038502,LISA & JASON PEARCE,,BU,743  CHESTNUT AVE,90813,False
22,BU07072725,DENIS J YOSHII,,BU,755  PINE AVE,90813,False
23,BU20631310,PAUL & SANDRA CARTER,,BU,400  OCEANGATE  800,90802,False
24,BU00065440,JOHN HOWARD NYQUIST,ARTIST CRAFTSMAN WOOD,BU,2110 W 17TH ST,90813,False
25,BU00066370,LA MAR INDUSTRIES INC,INDUSTRIAL FILTRATION INC,BU,1500  DAISY AVE,90813,False
26,BU20640090,RICK S NGOV,PANDANUS LEAF,BU,763 E ANAHEIM ST,90813,False
27,BU20357460,CO BA DUONG,BEACH JEWELRY CENTER,BU,121  PINE AVE,90802,False
28,BU07052682,TIGRAMI LP,,BU,1340  COWLES ST,90813,False
29,BU07052710,SEVEN J INVESTMENT CO,,BU,609  COWLES ST  Includes 609-65 Cowles St,90813,False
30,BU20348284,ERIK V BRINKLEY,SHAMPU,BU,422 E BROADWAY,90802,False
31,BU20450940,LB 4 FISH LLC,GLADSTONE'S LONG BEACH,BU,330 S PINE AVE,90802,False
32,BU07034611,NEILL PROPERTIES LLC,,BU,1260 W 15TH ST,90813,False
33,BU07034620,NEILL FAMILY TRUST,,BU,1301 W 15TH ST,90813,False
34,BU07034630,"HODGES, REX L INC",,BU,1302 W 15TH ST,90813,False
35,BU07034660,ROBERT C ET AL BEGHTOL,,BU,1326 W 15TH ST,90813,False
36,BU07034670,FRANK & DEBORAH ADAMS,,BU,1335 W 15TH ST,90813,False
37,BU07034680,"NEILL, RAYMOND & GENEVA",,BU,1336 W 15TH ST,90813,False
38,BU07034690,NORMAN E AND ESSENWANGER,,BU,1346 W 15TH ST,90813,False
39,BU03036100,DARIN EPPERLY,,BU,1135  DAISY AVE,90813,False
40,BU03036111,JUAN S ARTEAGA,,BU,1129  DAISY AVE,90813,False
41,BU03041552,WHITECAP PROPERTIES LLC,,BU,720 E 8TH ST,90813,False
42,BU03041580,WILLIAM M GENSEMER,,BU,751  OLIVE AVE,90813,False
43,BU07057100,BEARY PROPERTIES INC,,BU,1461  HARBOR AVE,90813,False
44,BU03048620,ROGER L AND JANICE J ANDERSON,,BU,60  LIME AVE,90802,False
45,BU03048632,MICHAEL BARBER,,BU,703  MEDIO ST  Includes 703-05 Medio St,90802,False
46,BU03048642,TING-WEY YEN,,BU,711  MEDIO ST,90802,False
47,BU03037461,MARIA MELENA,,BU,1009  CHESTNUT AVE,90813,False
48,BU03037494,SAILESH BHATIA,,BU,1022  MAGNOLIA AVE,90813,False
49,BU20134880,FANNY DAMARIZ GOMEZ,,BU,412 W ANAHEIM ST,90813,False
50,BU03039678,JONATHON NEAL,,BU,101 W 9TH ST,90813,False
51,BU03039680,WILLIAM & DEBRA WARD,,BU,128 W 9TH ST,90813,False
52,BU03039730,CORNELIS V STYGEREN,BLOKKER & ASSOCIATES,BU,852  ELM AVE,90813,False
53,BU03039740,MAX LIMON,,BU,848  ELM AVE,90813,False
54,BU03039751,M B EQUITY LLC,,BU,842  ELM AVE,90813,False
55,BU03039761,M B EQUITY LLC,,BU,830  ELM AVE,90813,False
56,BU03039770,CARL E SWAIN,,BU,837  LINDEN AVE,90813,False
57,BU03039781,B & C PROPERTIES INC,,BU,823  LINDEN AVE,90813,False
58,BU07041040,SMOLANOVICH FAMILY TRUST,,BU,1845 W ANAHEIM ST,90813,False
59,BU07075651,1562 SEABRIGHT AVENUE LLC,,BU,1526  SEABRIGHT AVE,90813,False
60,BU07075671,ROBERT O GARCIA TRUST,,BU,1552  SEABRIGHT AVE,90813,False
61,BU20537520,NEW CINGULAR WIRELESS PCS LLC,AT&T MOBILITY,BU,1043  ELM AVE,90813,False
62,BU20234380,WALKER K IRVING,,BU,"1042  MYRTLE AVE  1042,44,46,48 Myrtle Ave",90813,False
63,BU06057060,EDWARD ARNOLD,,BU,928  CEDAR AVE,90813,False
64,BU06057222,YVONNE PATRICIA BRIGHT,,BU,537  CHESTNUT AVE,90802,False
65,BU07030720,RICHARD KRUMHAUER,,BU,241 E 7TH ST  Includes 241-49 E 7th St,90813,False
66,BU07030730,FRANK H AND IRENE M SUMI,,BU,242 E 7TH ST  242-50 E 7th St & 649-53 L B Bl,90813,False
67,BU07030751,"COATES, JEFFREY TRUST",,BU,351 E 7TH ST,90813,False
68,BU20539370,GRAND TRANSPORTATION INC,,BU,620 W 16TH ST D,90813,False
69,BU03034662,SONG CHIM KAING,KAING REALTY,BU,525 E ESTHER ST,90813,False
70,BU03034670,ANTONIO AND JUANA MACIAS,,BU,539 E ESTHER ST,90813,False
71,BU20238460,NUM SATHA RAUV,WEST MINI MART,BU,615 E 10TH ST,90813,False
72,BU07048236,"MOODY, J RICHARD TRUST",,BU,965 E BROADWAY   Includes 965-69 E Broadway,90802,False
73,BU03042004,CLAUDIA KESHISHIAN,,BU,1000 E 10TH ST  950-56 Martin L King Ave,90813,False
74,BU07067696,AUDREY S LOFTIN,,BU,"782  PACIFIC AVE  762 PACIFIC AVE LONG BEACH, CA 90813",90813,False
75,BU07072581,J P HOUSING CORP,,BU,625  PINE AVE  625-33 Pine Ave,90802,False
76,BU07072632,JAMES I & CHRISTIE K CHU,,BU,701  PINE AVE,90813,False
77,BU07059591,FRANCISCO J URIARTE,,BU,758  LONG BEACH BLVD,90813,False
78,BU07059601,"SIMON, GIVORG TRUST",,BU,795  LONG BEACH BLVD,90813,False
79,BU03048363,JESSE L HOWARD,,BU,513 E BROADWAY,90802,False
80,BU03048400,N H C/O D D BARR COHEN,,BU,245  LINDEN AVE,90802,False
81,BU07042620,"PALLARES, CARLOS O TRUST",,BU,619  ATLANTIC AVE  Includes 619-21 Atlantic Ave,90802,False
82,BU01013681,AIR PRODUCTS AND CHEMICAL INC,,BU,901 W 12TH ST,90813,False
83,BU07037301,ROBERT GUMBINER FOUNDATION,,BU,695  ALAMITOS AVE  902-04 E 7th/695 Alamitos Ave,90802,False
84,BU20401030,H & R BLOCK INC,H & R BLOCK EASTERN ENTERPRISES INC,BU,400  LONG BEACH BLVD,90802,False
85,BU03039111,MICHAEL DUERR,,BU,1236  PINE AVE  1236-42 Pine Ave,90813,False
86,BU03040141,AMUSEMENT INDUSTRIES INC,,BU,1120  LINDEN AVE,90813,False
87,BU03040150,B J MANDALIA,,BU,1232  ST MARYS CT,90813,False
88,BU03040191,ALAN MANLULU,,BU,1216  ATLANTIC AVE,90813,False
89,BU03033822,WELLINGTON COURT APARTMENTS LP,,BU,1702  LOCUST AVE,90813,False
90,BU03033840,C & G INVESTMENTS,,BU,359 E ESTHER ST,90813,False
91,BU03033892,"COURTYARDS OF LONG BEACH HOUSING, LP",,BU,350 E ESTHER ST,90813,False
92,BU03033931,ALFONSO GRANADOS,,BU,1711  LINDEN AVE,90813,False
93,BU03033950,DAVID V & SANGWANY KRENG,,BU,329 E 16TH ST,90813,False
94,BU20131881,C W WELDING SERVICE INC,,BU,1735  SANTA FE AVE,90813,False
95,BU03061130,"BRUCE & DITCHKUS, LANCE STEWART",,BU,425  VIRGINIA CT  425-29 Virg Ct/441-47 Melrose Wy,90802,False
96,BU03061146,MARTIN A GONZALES,,BU,900  MAGNOLIA AVE  Includes 906 Magnolia,90813,False
97,BU03037263,THIEN & JULIEANNE L PHAN,,BU,1118  CEDAR AVE,90813,False
98,BU03037292,SYLVIA MURCIA,,BU,316 W 12TH ST,90813,False
